Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.199773741,,,,,0.791508835,,,,,2.05011425,,,,,4.358417146,,,,,8.37045843,,,,,15.22162997,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,World,Capacity|Hydrogen|Electricity,GW,0,,,,,23.27536052,,,,,65.18347207,,,,,142.7210229,,,,,263.3892587,,,,,433.8283519,,,,,707.5191348,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.631754168,,,,,1.953092374,,,,,4.27635001,,,,,7.891932359,,,,,12.99879891,,,,,21.19939584,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,World,Capacity|Hydrogen|Electricity,GW,0,,,,,20.40251771,,,,,57.82396123,,,,,127.7486449,,,,,249.9043906,,,,,432.8817816,,,,,711.4269129,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.545675179,,,,,1.73257935,,,,,3.827732647,,,,,7.487885255,,,,,12.97043682,,,,,21.2712382,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,World,Capacity|Hydrogen|Electricity,GW,0,,,,,16.96011228,,,,,52.29822395,,,,,116.1540621,,,,,228.8546103,,,,,418.0773321,,,,,710.5119259,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.457991632,,,,,1.567011684,,,,,3.480324163,,,,,6.857170687,,,,,12.5268511,,,,,21.24382244,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,World,Capacity|Hydrogen|Electricity,GW,0,,,,,14.92466328,,,,,46.74640119,,,,,108.3252796,,,,,217.2686475,,,,,402.6952871,,,,,693.3970666,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.438659464,,,,,1.400662419,,,,,3.245750352,,,,,6.510020485,,,,,12.06595889,,,,,20.73100991,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,World,Capacity|Hydrogen|Electricity,GW,0,,,,,1.809695648,,,,,1.809695648,,,,,5.105793834,,,,,24.35661721,,,,,63.09569353,,,,,138.8170823,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0,,,,,0.152984901,,,,,0.729797321,,,,,1.890536265,,,,,4.159376238,C2,
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,World,Capacity|Hydrogen|Electricity,GW,0,,,,,10.76968028,,,,,33.53181147,,,,,87.20836038,,,,,182.9204686,,,,,346.771069,,,,,617.1154806,C1,
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.309376238,,,,,1.004713667,,,,,2.613024102,,,,,5.480846002,,,,,10.39030154,,,,,18.44538475,C1,
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,World,Capacity|Hydrogen|Electricity,GW,0,,,,,9.959170296,,,,,27.38018368,,,,,61.9560383,,,,,136.3233766,,,,,250.0946718,,,,,403.1294786,C1,
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.232761161,,,,,0.754746985,,,,,1.856388776,,,,,4.084657334,,,,,7.493586651,,,,,12.07896857,C1,
REMIND 1.7,CEMICS-1.5-CDR8,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.0189,,,,,0,,,,,0,,,,,0.041,,,,,2.3374,,,,,7.2674,C1,
REMIND 2.1,CEMICS_GDPgrowth_1p5,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0351,,,,,0.4704,,,,,2.6157,,,,,6.9362,,,,,11.7882,,,,,17.3312,,,,,24.3762,C1,
REMIND 2.1,CEMICS_HotellingConst_1p5,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0351,,,,,0.3973,,,,,2.1985,,,,,6.0377,,,,,11.2363,,,,,18.7037,,,,,31.0548,C1,
REMIND 2.1,CEMICS_Linear_1p5,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0351,,,,,0.4725,,,,,2.5773,,,,,6.775,,,,,10.9727,,,,,14.88,,,,,20.5479,C1,
REMIND 2.1,CEMICS_opt_1p5,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0351,,,,,0.4166,,,,,2.1484,,,,,5.8304,,,,,9.6383,,,,,12.2002,,,,,14.2262,C1,
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP1_P50,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0361,,,,,0.361,,,,,1.8574,,,,,4.9037,,,,,8.2646,,,,,11.1229,,,,,13.5345,C1,
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.029,,,,,0.6573,,,,,3.4986,,,,,8.5923,,,,,14.2135,,,,,20.6245,,,,,27.6733,C1,
REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.029,,,,,0.6482,,,,,3.2794,,,,,7.7224,,,,,12.4893,,,,,17.9097,,,,,24.1864,C1,
REMIND 2.1,R2p1_SSP5-PkBudg900,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.029,,,,,0.5499,,,,,2.6496,,,,,6.0587,,,,,9.6403,,,,,13.1208,,,,,16.5983,C1,
REMIND-MAgPIE 1.5,SSP1-19,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,C2,
REMIND-MAgPIE 1.5,SSP2-19,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0.4523,C1,
